Feminine	Freq	R/F/E/S	Masculine	Freq	R/F/E/S
woman	322	+/+/-/+	man	1396	+/+/-/+
girl	234	Ξ/+/=/-	boy	261	Ξ/+/=/-
sister	56	+/+/-/+	brother	106	+/+/-/+
mother	268	+/+/-/+	father	246	+/+/-/+
wife	302	+/+/-/+	husband	184	+/+/-/+
daughter	93	Ξ/+/=/+	son	191	Ξ/+/=/+
daughter-in-law	1	+/+/-/+*	son-in-law	5	+/+/-/+*
stepdaughter	1	?/?/+/+	stepson	3	?/?/+/+
grandmother	14	+/+/-/+	grandfather	17	+/+/-/+
granddaughter	3	+/+/-/+	grandson	7	+/+/-/+
aunt	11	+/+/-/+	uncle	26	+/+/-/+
niece	9	+/+/-/+	nephew	11	+/+/-/+
bride	39	?/?/+/+	groom	5	?/?/+/+
girlfriend	5	?/?/=/=	boyfriend	4	?/?/=/=
lady	62	+/?/+/+	gentleman	26	+/?/+/+
mistress	8	?/?/+/?	mister	5	+/+/-/+
queen	26	+/+/Ξ/-	king	42	+/+/Ξ/-
princess	7	+/+/-/+	prince	6	+/+/-/+
governess	4	+/?/+/*	governor	84	+/?/Ξ/-
duchess	3	+/+/+/+	duke	6	+/+/-/+
empress	0	?/?/?/?	emperor	11	+/+/-/+
baroness	2	+/+/-/+	baron	3	+/+/-/+
witch	10	?/?/+/*	soldier	43	+/+/-/+
actress	17	+/+/-/+	actor	43	+/+/Ξ/-
waitress	4	+/+/-/+	waiter	11	+/+/-/+
mare	15	+/?/+/?	stallion	10	+/?/+/+
cow	30	+/+/-/+	bull	29	+/+/-/+
bitch	8	+/+/-/*	dog	85	+/+/-/+
hen	23	+/?/=/+	rooster	27	+/?/=/+
doe	1	?/?/+/*	stag	9	?/?/+/*
